[Thursday/July 27/07/2023 15:21:42] /home/dny4/Courses/SDE/Steve.Tarzia/CS-310 Scalable Software Architectures/CS-310 Lecture 14 - Distributed DB Consistency.mp4 | length=3632.344 | time=24.166666666667
[Thursday/July 27/07/2023 15:23:00] /home/dny4/Courses/SDE/Steve.Tarzia/CS-310 Scalable Software Architectures/CS-310 Lecture 14 - Distributed DB Consistency.mp4 | length=3632.344 | time=20.7
[Thursday/July 27/07/2023 15:24:42] /home/dny4/Courses/SDE/Steve.Tarzia/CS-310 Scalable Software Architectures/CS-310 Lecture 15 - Choosing a Database.mp4 | length=3521 | time=0
[Thursday/July 27/07/2023 15:27:08] /home/dny4/Courses/3Blue1Brown/Differential equations/1 - Differential equations, a tourist's guide ｜ DE1.mp4 | length=1636 | time=12.766666666667
[Thursday/July 27/07/2023 15:27:11] /home/dny4/Courses/SDE/Steve.Tarzia/CS-310 Scalable Software Architectures/CS-310 Lecture 15 - Choosing a Database.mp4 | length=3521 | time=148.46666666667
[Thursday/July 27/07/2023 15:32:10] /home/dny4/Courses/SDE/Steve.Tarzia/CS-310 Scalable Software Architectures/CS-310 Lecture 16 - Asynchronous Processing.mp4 | length=3271.181 | time=9.5666666666667
[Thursday/July 27/07/2023 15:32:27] /home/dny4/Downloads/yt/TheraminTrees/rumination ｜ combatting repetitive thoughts [cc] [o1G4JFuLlO8].mp4 | length=1586 | time=306.13916666667
[Thursday/July 27/07/2023 16:13:22] /home/dny4/Videos/movies/Nightcrawler.2014.mkv | length=7085.312 | time=1668.876
[Thursday/July 27/07/2023 18:43:55] /home/dny4/Downloads/Bicentennial.Man.1999.720p.WEB-HD.x264.950MB-Pahe.in.mkv | length=7886.644 | time=7886.644
[Friday/July 28/07/2023 06:36:40] /home/dny4/Downloads/yt/TheraminTrees/letting go of fixing people [cc] [mdDAHekq9yc].mp4 | length=1733 | time=1732.440816327
